20	0	4755466	63025520	0.075453
20	1	3594976	63025520	0.05704
20	2	6696298	63025520	0.106247
20	3	9099971	63025520	0.144386
20	4	9866485	63025520	0.156547
20	5	9016414	63025520	0.14306
20	6	7184625	63025520	0.113995
20	7	5133531	63025520	0.0814516
20	8	3341004	63025520	0.0530103
20	9	2020391	63025520	0.0320567
20	10	1137277	63025520	0.0180447
20	11	604161	63025520	0.00958597
20	12	299234	63025520	0.00474782
20	13	144602	63025520	0.00229434
20	14	69816	63025520	0.00110774
20	15	32578	63025520	0.000516902
20	16	14235	63025520	0.000225861
20	17	6605	63025520	0.000104799
20	18	3147	63025520	4.99322e-05
20	19	1575	63025520	2.49899e-05
20	20	772	63025520	1.2249e-05
20	21	385	63025520	6.10864e-06
20	22	318	63025520	5.04558e-06
20	23	216	63025520	3.42718e-06
20	24	172	63025520	2.72905e-06
20	25	209	63025520	3.31612e-06
20	26	200	63025520	3.17332e-06
20	27	134	63025520	2.12612e-06
20	28	92	63025520	1.45973e-06
20	29	48	63025520	7.61596e-07
20	30	39	63025520	6.18797e-07
20	31	40	63025520	6.34664e-07
20	32	35	63025520	5.55331e-07
20	33	25	63025520	3.96665e-07
20	34	25	63025520	3.96665e-07
20	35	19	63025520	3.01465e-07
20	36	38	63025520	6.0293e-07
20	37	22	63025520	3.49065e-07
20	38	34	63025520	5.39464e-07
20	39	13	63025520	2.06266e-07
20	40	40	63025520	6.34664e-07
20	41	30	63025520	4.75998e-07
20	42	34	63025520	5.39464e-07
20	43	27	63025520	4.28398e-07
20	44	23	63025520	3.64932e-07
20	45	13	63025520	2.06266e-07
20	46	6	63025520	9.51995e-08
20	47	9	63025520	1.42799e-07
20	48	18	63025520	2.85599e-07
20	49	8	63025520	1.26933e-07
20	50	5	63025520	7.93329e-08
20	51	7	63025520	1.11066e-07
20	52	2	63025520	3.17332e-08
20	53	8	63025520	1.26933e-07
20	54	6	63025520	9.51995e-08
20	55	9	63025520	1.42799e-07
20	56	11	63025520	1.74532e-07
20	57	6	63025520	9.51995e-08
20	58	15	63025520	2.37999e-07
20	59	5	63025520	7.93329e-08
20	60	1	63025520	1.58666e-08
20	61	3	63025520	4.75998e-08
20	62	2	63025520	3.17332e-08
20	63	2	63025520	3.17332e-08
20	64	3	63025520	4.75998e-08
1	0	249250621	249250621	1
2	0	243199373	243199373	1
3	0	198022430	198022430	1
4	0	191154276	191154276	1
5	0	180915260	180915260	1
6	0	171115067	171115067	1
7	0	159138663	159138663	1
8	0	146364022	146364022	1
9	0	141213431	141213431	1
10	0	135534747	135534747	1
11	0	135006516	135006516	1
12	0	133851895	133851895	1
13	0	115169878	115169878	1
14	0	107349540	107349540	1
15	0	102531392	102531392	1
16	0	90354753	90354753	1
17	0	81195210	81195210	1
18	0	78077248	78077248	1
19	0	59128983	59128983	1
21	0	48129895	48129895	1
22	0	51304566	51304566	1
X	0	155270560	155270560	1
